ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,Order,Stimulus,SearchOrCount
cass1,1,1,378,402,26,884,552,824.2,459.20000000000005,196.93,104,FALSE,DOWN,2.66,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,2,552,576,26,827.2,457.6,772.1,366.29999999999995,172.79,95.01,FALSE,DOWN,2.54,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,3,790,838,50,780.5,362,766.5,730.3,503.01,222.48,FALSE,UP,9.34,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,4,1100,1138,40,766.9,747.5,716.2,618.8,282.27,119.03,FALSE,DOWN,3.52,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,5,1284,1344,62,711.5,607,1366.3,385.79999999999995,565.43,256.02,FALSE,RIGHT,14.49,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,6,1608,1648,42,1371.5,369.1,860.4,332.6,410.92,246.19,FALSE,LEFT,10.34,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,7,1936,1958,24,862.6,336.4,782.8,401,170.13,93.12,FALSE,LEFT,2.28,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,8,2106,2126,22,784.8,388.29999999999995,833.7,378.79999999999995,98.53,51.25,FALSE,RIGHT,1.04,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,9,2404,2448,46,822.7,370.4,1103.5,405,383.55,149.39,FALSE,RIGHT,5.83,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,10,2600,2650,52,1123.2,410.5,834.5,607.7,408.34,181.6,FALSE,LEFT,7.79,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,11,2900,2934,36,806,612.2,500.6,581.6,365.25,177.4,FALSE,LEFT,6.43,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,12,3176,3208,34,502.4,571,437.5,513.1,202.07,87.99,FALSE,DOWN,1.98,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,13,3554,3576,24,432.3,497.9,330.5,421.5,212.95,111.13,FALSE,LEFT,2.8,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,14,3978,4042,66,329.4,421.5,1233.9,380.9,599.75,298.8,FALSE,RIGHT,18.23,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,15,4192,4220,30,1250.5,370.1,1292.3,244.10000000000002,227.72,115.69,FALSE,DOWN,3.12,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,16,4468,4532,66,1295.1,236.29999999999995,1468.7,821,610.45,257.71,FALSE,UP,14.76,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,17,4874,4930,58,1454.9,823.1,853.9,642.4,497.44,242.24,FALSE,LEFT,13.29,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,18,5112,5140,30,831.9,629.2,776.6,594.8,165.18,77.6,FALSE,LEFT,1.47,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,19,5318,5358,42,770.5,582.3,914.3,414.20000000000005,396.11,155.61,FALSE,DOWN,5.2,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,20,5666,5716,52,934,398.29999999999995,790.9,620.4,482.73,181.12,FALSE,UP,6.36,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,21,6306,6368,64,771.7,589.2,1438.7,422.20000000000005,530.7,241.99,FALSE,RIGHT,14.22,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,22,6488,6638,152,1456.6,416.29999999999995,1339.3,399.70000000000005,1343.58,349.49,TRUE,LEFT,2.36,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,23,6902,6960,60,1343.5,392.70000000000005,751.9,488.6,452.24,219.02,FALSE,LEFT,12.29,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,24,7204,7224,22,717.9,484.9,726,413.4,137.77,77.97,FALSE,DOWN,1.8,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,25,7446,7472,28,725.4,407.29999999999995,781.8,279.79999999999995,229.39,120.71,FALSE,DOWN,3.31,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,26,7726,7764,40,791.1,284,478.6,354.20000000000005,330.01,163.84,FALSE,LEFT,6.56,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,27,7954,8190,238,484.8,330.1,678.8,622.6,1165.89,360.25,TRUE,UP,8.33,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,28,8374,8406,34,686.3,567.7,759.7,551.3,173.23,77.44,FALSE,RIGHT,1.59,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,29,8598,8648,52,769.4,555.8,1129.9,275.4,560.29,217.05,FALSE,RIGHT,10.14,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,30,8826,8858,34,1139,256.5,1238.5,193.20000000000005,218.03,100.56,FALSE,RIGHT,2.47,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,31,8966,9014,50,1253.8,194.70000000000005,839.4,294.9,414.9,187.13,FALSE,LEFT,8.63,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,32,9286,9308,24,818.8,297.1,723.8,348,180.04,92.77,FALSE,LEFT,2.3,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,33,9646,9662,18,734,337,682.5,310.1,98.85,62.42,FALSE,LEFT,1.24,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,34,9692,9730,40,690.2,311.5,339.7,356.9,326.44,175.81,FALSE,LEFT,7.14,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,35,9996,10016,22,350.7,348.70000000000005,291.5,395,122.02,69.41,FALSE,LEFT,1.63,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,36,10374,10384,12,285.8,384.20000000000005,271.4,360.6,57.36,47.71,FALSE,DOWN,0.64,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,37,10452,10516,66,272.7,365.1,1221,314.20000000000005,595.39,306.16,FALSE,RIGHT,18.91,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,38,10792,10814,24,1247,305.5,1310.4,249.70000000000005,147.51,81.04,FALSE,DOWN,1.83,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,39,11106,11132,28,1284.7,246.10000000000002,1484.3,395.20000000000005,374.03,191.23,FALSE,RIGHT,5.3,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,40,11492,11520,30,1477.9,393.1,1530.4,618.7,367.48,190.72,FALSE,UP,5.65,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,41,11844,11874,32,1517.5,609.8,1279,519.4,337.61,166.58,FALSE,LEFT,5.31,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,42,12126,12156,32,1263.2,508.29999999999995,1180.2,484.1,188.09,86.43,FALSE,LEFT,1.8,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,43,12272,12308,38,1166.7,481.4,831.6,359.20000000000005,420.55,200.71,FALSE,LEFT,7.52,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,44,12592,12622,32,843.4,359.70000000000005,768.2,358.4,162.33,74.36,FALSE,LEFT,1.54,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,45,12816,12838,24,764.6,348.9,728.8,285.6,151.7,79.23,FALSE,DOWN,1.7,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,46,13004,13056,54,729.1,295.4,1239.8,226.20000000000005,482.82,212.2,FALSE,RIGHT,10.39,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,47,13170,13228,60,1265.6,232.39999999999998,1027.5,685,570.68,238.29,FALSE,UP,12.19,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,48,13428,13466,40,1029,675.8,699.2,602.2,394.56,179.17,FALSE,LEFT,7.2,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,49,13714,13770,58,706.9,583.2,1447.6,844.5,661.18,308.22,FALSE,RIGHT,16.72,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,50,14026,14072,48,1465.4,858,1134.5,968.6,377.35,166.74,FALSE,LEFT,7.44,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,51,14232,14290,60,1116.5,966,498.8,888,474.49,235.54,FALSE,LEFT,13.21,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,52,14456,14478,24,476.5,869.4,384.4,769.3,250.16,130.28,FALSE,DOWN,3.25,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,53,14776,14822,48,390.4,773.8,660.9,848.9,391,144.84,FALSE,RIGHT,6.01,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,54,15056,15116,62,674.4,846.2,1457.7,909.8,589.56,278.62,FALSE,RIGHT,16.37,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,55,15400,15456,58,1468.8,900.2,1291.7,472.9,531.58,213.41,FALSE,DOWN,11.42,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,56,15720,15774,56,1266.6,433.9,701.7,451.29999999999995,436.41,220.32,FALSE,LEFT,11.57,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,1,57,15956,15988,34,686.1,448.4,411.3,510.6,321.65,170.13,FALSE,LEFT,5.86,RIGHT,Visual foraging,1,sheep.jpg,Search
